p,taxa_corte,lambda,num_polens,melhor_makespan,tempo_execucao
0.8,0.6,1.5,50,2530.0,7.929196357727051
0.8,0.6,1.5,100,2502.0,15.405431985855103
0.8,0.6,1.5,200,2521.0,31.154945135116577
0.8,0.6,2.0,50,2531.0,7.784570693969727
0.8,0.6,2.0,100,2530.0,15.549726724624634
0.8,0.6,2.0,200,2526.0,30.764586210250854
0.9,0.2,1.0,50,2575.0,7.949133396148682
0.9,0.2,1.0,100,2536.0,15.420611381530762
0.9,0.2,1.0,200,2573.0,31.178243160247803
0.9,0.2,1.5,50,2562.0,7.8610053062438965
0.9,0.2,1.5,100,2531.0,15.858227968215942
0.9,0.2,1.5,200,2567.0,31.42490816116333
0.9,0.2,2.0,50,2577.0,7.8572211265563965
0.9,0.2,2.0,100,2568.0,15.724437713623047
0.9,0.2,2.0,200,2564.0,31.40761423110962
0.9,0.4,1.0,50,2549.0,8.092655658721924
0.9,0.4,1.0,100,2541.0,15.472693681716919
0.9,0.4,1.0,200,2547.0,31.115544319152832
0.9,0.4,1.5,50,2572.0,8.16565203666687
0.9,0.4,1.5,100,2575.0,15.60124683380127
0.9,0.4,1.5,200,2544.0,31.18026113510132
0.9,0.4,2.0,50,2564.0,7.878767490386963
0.9,0.4,2.0,100,2536.0,15.190396547317505
0.9,0.4,2.0,200,2554.0,31.839609384536743
0.9,0.6,1.0,50,2542.0,8.021520137786865
0.9,0.6,1.0,100,2560.0,15.799188137054443
0.9,0.6,1.0,200,2509.0,32.16985249519348
0.9,0.6,1.5,50,2571.0,7.777003526687622
0.9,0.6,1.5,100,2545.0,16.330649375915527
0.9,0.6,1.5,200,2531.0,32.05546832084656
0.9,0.6,2.0,50,2560.0,7.832136154174805
0.9,0.6,2.0,100,2542.0,15.907897472381592
0.9,0.6,2.0,200,2541.0,31.145742893218994
