Operador,População,Mutação,Seleção,Melhor,Média,Desvio
OX,100,0.01,torneio,291.0,300.2,12.296340919151518
OX,100,0.01,roleta,291.0,329.4,26.959228475607382
OX,100,0.05,torneio,291.0,320.6,18.46076921474292
OX,100,0.05,roleta,299.0,330.6,27.153268679847734
OX,200,0.01,torneio,291.0,311.4,23.15815191244759
OX,200,0.01,roleta,315.0,335.4,16.772000476985447
OX,200,0.05,torneio,291.0,308.8,16.376812876747415
OX,200,0.05,roleta,337.0,360.6,26.85702887513807
