Geração 0Melhor: 01111111001000001111x = [-0.013685239491691092, 0.06060606060606055]Fitness: 0.27544144966786677
Geração 1Melhor: 01111111001000001111x = [-0.013685239491691092, 0.06060606060606055]Fitness: 0.27544144966786677
Geração 2Melhor: 10000000100111111100x = [0.009775171065493637, -0.013685239491691092]Fitness: 0.05508516934049412
Geração 3Melhor: 10000000100111111101x = [0.009775171065493637, -0.009775171065493637]Fitness: 0.0441831605930223
Geração 4Melhor: 01111111001000000000x = [-0.013685239491691092, 0.0019550342130987275]Fitness: 0.04418167855264388
Geração 5Melhor: 01111111001000000000x = [-0.013685239491691092, 0.0019550342130987275]Fitness: 0.04418167855264388
Geração 6Melhor: 10000000100111111111x = [0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 7Melhor: 10000000100111111111x = [0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 8Melhor: 10000000100111111111x = [0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 9Melhor: 10000000100111111111x = [0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 10Melhor: 10000000100111111111x = [0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 11Melhor: 10000000100111111111x = [0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 12Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 13Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 14Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 15Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 16Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 17Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 18Melhor: 10000000000111111111x = [0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
