Geração 55Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 56Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 57Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 58Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 59Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 60Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 61Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 62Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 63Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 64Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 65Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 66Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 67Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 68Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 69Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 70Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 71Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 72Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 73Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 74Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 75Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 76Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 77Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 78Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 79Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 80Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 81Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 82Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 83Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 84Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 85Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 86Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 87Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 88Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 89Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 90Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 91Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 92Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 93Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 94Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 95Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 96Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 97Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 98Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 99Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
